Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          18.1415      18.1415       0.0000     0.0
0.0010          18.1448      18.1415       0.0032     0.6
0.0020          18.1475      18.1415       0.0060     1.0
0.0030          18.1505      18.1415       0.0090     1.6
0.0040          18.1528      18.1415       0.0113     1.9
0.0050          18.1555      18.1415       0.0140     2.4
0.0060          18.1572      18.1415       0.0157     2.7
0.0070          18.1625      18.1415       0.0210     3.6
0.0080          18.1652      18.1416       0.0237     4.1
0.0090          18.1719      18.1416       0.0303     5.2
0.0100          18.1748      18.1416       0.0331     5.7
0.0110          18.1754      18.1416       0.0338     5.8
0.0120          18.1765      18.1417       0.0348     6.0
0.0130          18.1780      18.1417       0.0363     6.2
0.0140          18.1769      18.1417       0.0351     6.0
0.0150          18.1794      18.1418       0.0376     6.5
0.0160          18.1814      18.1418       0.0396     6.8
0.0170          18.1819      18.1419       0.0401     6.9
0.0180          18.1856      18.1419       0.0437     7.5
0.0190          18.1890      18.1419       0.0471     8.1
0.0200          18.1908      18.1419       0.0489     8.4
0.0210          18.1928      18.1419       0.0509     8.8
0.0220          18.1922      18.1420       0.0502     8.6
0.0230          18.1968      18.1420       0.0548     9.4
0.0240          18.2016      18.1420       0.0596    10.2
0.0250          18.2041      18.1420       0.0621    10.7
0.0260          18.2041      18.1420       0.0621    10.7
0.0270          18.2097      18.1420       0.0678    11.7
0.0280          18.2134      18.1419       0.0715    12.3
0.0290          18.2214      18.1419       0.0795    13.7
0.0300          18.2239      18.1419       0.0820    14.1
0.0310          18.2275      18.1419       0.0856    14.7
0.0320          18.2284      18.1419       0.0865    14.9
0.0330          18.2305      18.1419       0.0886    15.2
0.0340          18.2307      18.1419       0.0888    15.3
0.0350          18.2304      18.1419       0.0884    15.2
0.0360          18.2354      18.1420       0.0934    16.1
0.0370          18.2343      18.1421       0.0922    15.9
0.0380          18.2422      18.1421       0.1001    17.2
0.0390          18.2487      18.1421       0.1065    18.3
0.0400          18.2518      18.1421       0.1097    18.9
0.0410          18.2593      18.1421       0.1172    20.1
0.0420          18.2603      18.1421       0.1183    20.3
0.0430          18.2631      18.1420       0.1211    20.8
0.0440          18.2611      18.1419       0.1192    20.5
0.0450          18.2636      18.1419       0.1218    20.9
0.0460          18.2727      18.1418       0.1309    22.5
0.0470          18.2661      18.1418       0.1243    21.4
0.0480          18.2714      18.1417       0.1297    22.3
0.0490          18.2769      18.1416       0.1353    23.3
0.0500          18.2802      18.1415       0.1387    23.9
0.0510          18.2768      18.1413       0.1355    23.3
0.0520          18.2796      18.1411       0.1385    23.8
0.0530          18.2847      18.1409       0.1438    24.7
0.0540          18.2906      18.1406       0.1500    25.8
0.0550          18.2963      18.1402       0.1561    26.8
0.0560          18.3053      18.1397       0.1655    28.5
