Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           5.3753       5.3753       0.0000     0.0
0.0010           5.3762       5.3753       0.0009     0.5
0.0020           5.3769       5.3753       0.0016     0.9
0.0030           5.3778       5.3753       0.0026     1.5
0.0040           5.3788       5.3753       0.0035     2.0
0.0050           5.3799       5.3753       0.0046     2.7
0.0060           5.3809       5.3753       0.0056     3.2
0.0070           5.3821       5.3753       0.0068     4.0
0.0080           5.3823       5.3753       0.0070     4.1
0.0090           5.3828       5.3753       0.0075     4.4
0.0100           5.3831       5.3753       0.0079     4.6
0.0110           5.3842       5.3753       0.0089     5.1
0.0120           5.3842       5.3753       0.0089     5.2
0.0130           5.3877       5.3753       0.0124     7.2
0.0140           5.3866       5.3753       0.0113     6.6
0.0150           5.3892       5.3753       0.0140     8.1
0.0160           5.3900       5.3752       0.0147     8.6
0.0170           5.3910       5.3752       0.0158     9.2
0.0180           5.3925       5.3752       0.0173    10.0
0.0190           5.3933       5.3752       0.0181    10.5
0.0200           5.3937       5.3751       0.0185    10.7
0.0210           5.3925       5.3751       0.0174    10.1
0.0220           5.3946       5.3751       0.0195    11.3
0.0230           5.3965       5.3750       0.0214    12.4
0.0240           5.3958       5.3750       0.0208    12.1
0.0250           5.3974       5.3750       0.0224    13.0
0.0260           5.3989       5.3749       0.0240    13.9
0.0270           5.3984       5.3749       0.0236    13.7
0.0280           5.4022       5.3748       0.0274    15.9
0.0290           5.4022       5.3747       0.0275    16.0
0.0300           5.4040       5.3746       0.0294    17.1
0.0310           5.4064       5.3745       0.0319    18.5
0.0320           5.4057       5.3745       0.0312    18.1
0.0330           5.4042       5.3744       0.0298    17.3
0.0340           5.4061       5.3743       0.0317    18.4
0.0350           5.4073       5.3743       0.0330    19.1
0.0360           5.4104       5.3742       0.0362    21.0
0.0370           5.4124       5.3741       0.0382    22.2
0.0380           5.4143       5.3740       0.0403    23.4
0.0390           5.4134       5.3740       0.0394    22.9
0.0400           5.4161       5.3740       0.0422    24.5
0.0410           5.4158       5.3739       0.0419    24.3
0.0420           5.4151       5.3738       0.0413    24.0
0.0430           5.4112       5.3737       0.0375    21.7
0.0440           5.4084       5.3736       0.0348    20.2
0.0450           5.4098       5.3735       0.0364    21.1
0.0460           5.4100       5.3733       0.0366    21.3
0.0470           5.4126       5.3732       0.0393    22.8
0.0480           5.4108       5.3731       0.0378    21.9
0.0490           5.4128       5.3729       0.0399    23.2
